Customer Code,DaysPresent,Revenue
CAN0581,446,6167443.21
CAN0582,444,6829717.62
CAN0583,444,6317235.08
CAN0584,444,122792.54
CAN0585,0,0
CAN0586,442,28160018.36
CAN0587,441,4389525.82
CAN0588,440,0
CAN0589,428,9768.42
CAN0590,418,697482.16
CAN0591,415,2964224.24
CAN0592,394,204413.65
CAN0594,388,6109713.87
CAN0596,386,13195.06
CAN0597,0,0
CAN0598,0,0
CAN0599,356,549302.55
CAN0600,0,0
CAN0601,353,16076780.42
CAN0602,343,22888.39
CAN0603,331,5061246.39
CAN0604,327,2236003.75
CAN0605,321,97481.26
CAN0606,299,5808978.4
CAN0607,0,0
CAN0608,288,3215135.15
CAN0609,0,0
CAN0610,282,1373038.8
CAN0611,274,1276268.01
CAN0612,261,22920873.87
CAN0613,241,14329316.58
CAN0614,240,1947972
CAN0616,233,2680252.76
CAN0617,232,816058.29
CAN0618,231,2152427.11
CAN0619,231,3063491.84
CAN0620,202,825672.09
CAN0624,169,337649.88
CAN0625,139,229200.84
CAN0626,139,3023560.79
CAN0627,133,254360.74
CAO0004,3977,1867593.64
CAO0011,2315,1343380.32
CAO0012,2248,38006.72
CAO0017,0,0
CAO0018,980,523921.66
CAO0019,716,3691267.1
CAO0020,710,55801.92
CAO0024,391,171601.5
CAO0025,201,720669.96
CAP0024,4291,2772895.44
CAP0051,0,0
CAP0058,3067,19424287.57
CAP0062,2715,3160768.79
CAP0069,2070,52278.84
CAP0070,2059,3828047.62
CAP0076,1511,945888.52
CAP0083,0,0
CAP0088,1296,170986.94
CAP0089,1276,921294.95
CAP0092,1211,10733352.88
CAP0093,0,0
CAP0094,0,0
CAP0095,1009,39322823.56
CAP0096,938,13796427.51
CAP0098,762,22400.82
CAP0099,716,3134522.06
CAP0100,716,7269861.05
CAP0101,716,49866088.93
CAP0103,710,14819.54
CAP0106,716,3746297.67
CAP0112,714,0
CAP0117,693,36803.86
CAP0118,537,815034.86
CAP0119,498,35942.02
CAP0120,451,7771447
CAP0121,448,12490995.84
CAP0122,0,0
CAP0123,387,541843.14
CAP0124,365,5546845.38
CAP0126,331,41986806.17
CAP0127,325,1028125.34
CAP0129,0,0
CAP0130,183,3432063.32
CAP0131,153,1026391.34
CAP0132,149,1169407.04
CAQ0007,687,0
CAQ0008,218,462499.98
CAR0005,4291,2439128.35
CAR0007,4291,462337.59
CAR0011,4291,367697.01
CAR0024,4291,6918579.81
CAR0047,4291,24478365.43
CAR0050,3138,729326.43
CAR0085,4291,17217204.86
CAR0095,0,0
CAR0110,4291,5725522.48
CAR0119,4291,4071499.44
CAR0130,4291,3332066.43
CAR0133,4291,12243463.84
CAR0137,4291,31868795.17
CAR0148,4291,279032.86
CAR0149,4291,39808853.69
CAR0155,4291,11175132.26
CAR0168,4291,11316650.22
CAR0173,0,0
CAR0174,4291,7150000.54
CAR0177,4291,600889.77
CAR0180,4268,11896119.82
CAR0188,4160,585816.85
